created_at,entry_id,temperature,humidity,moisture_level,,pump action ON/OFF
2018-04-05 16:00:04 UTC,2793,32,40,62,,1
2018-04-05 16:00:04 UTC,2794,32,40,62,,1
2018-04-05 16:00:04 UTC,2795,32,40,62,,1
2018-04-05 16:00:04 UTC,2796,32,40,62,,1
2018-04-05 16:00:04 UTC,2797,32,40,62,,1
2018-04-05 16:00:04 UTC,2798,32,40,62,,1
2018-04-05 16:00:04 UTC,2799,32,40,62,,1
2018-04-05 16:00:04 UTC,2800,32,40,62,,1
2018-04-05 16:00:04 UTC,2801,32,40,62,,1
2018-04-05 16:00:04 UTC,2802,32,40,62,,1
2018-04-05 16:00:04 UTC,2803,32,40,62,,1
2018-04-05 16:00:04 UTC,2804,32,40,62,,1
2018-04-05 16:00:04 UTC,2805,32,40,62,,1
2018-04-05 16:00:04 UTC,2806,32,40,62,,1
2018-04-05 16:00:04 UTC,2807,32,40,62,,1
2018-04-05 16:00:04 UTC,2808,32,40,62,,1
2018-04-05 16:00:04 UTC,2809,32,40,62,,1
2018-04-05 16:00:04 UTC,2810,32,40,62,,1
2018-04-05 16:00:04 UTC,2811,32,40,62,,1
2018-04-05 16:00:04 UTC,2812,32,40,62,,1
2018-04-05 16:00:04 UTC,2813,32,40,62,,1
2018-04-05 16:00:04 UTC,2814,32,40,62,,1
2018-04-05 16:00:04 UTC,2815,32,40,62,,1
2018-04-05 16:00:04 UTC,2816,32,40,62,,1
2018-04-05 16:00:04 UTC,2817,32,40,62,,1
2018-04-05 16:00:04 UTC,2818,32,40,62,,1
2018-04-05 16:00:04 UTC,2819,32,40,62,,1
2018-04-05 16:00:04 UTC,2820,32,40,62,,1
2018-04-05 16:00:04 UTC,2821,32,40,62,,1
2018-04-05 16:00:04 UTC,2822,32,40,62,,1
2018-04-05 16:00:04 UTC,2823,32,40,62,,1
2018-04-05 16:00:04 UTC,2824,32,40,62,,1
2018-04-05 16:00:04 UTC,2825,32,40,62,,1
2018-04-05 16:00:04 UTC,2826,32,40,62,,1
2018-04-05 16:00:04 UTC,2827,32,40,62,,1
2018-04-05 16:00:04 UTC,2828,32,40,62,,1
2018-04-05 16:00:04 UTC,2829,32,40,62,,1
2018-04-05 16:00:04 UTC,2830,32,40,62,,1
2018-04-05 16:00:04 UTC,2831,32,40,62,,1
2018-04-05 16:00:04 UTC,2832,32,40,62,,1
2018-04-05 16:00:04 UTC,2833,32,40,78,,0
2018-04-05 16:00:04 UTC,2834,32,40,78,,0
2018-04-05 16:00:04 UTC,2835,32,40,78,,0
2018-04-05 16:00:04 UTC,2836,32,40,78,,0
2018-04-05 16:00:04 UTC,2837,32,40,78,,0
2018-04-05 16:00:04 UTC,2838,32,40,78,,0
2018-04-05 16:00:04 UTC,2839,32,40,78,,0
2018-04-05 16:00:04 UTC,2840,32,40,78,,0
2018-04-05 16:00:04 UTC,2841,32,40,78,,0
2018-04-05 16:00:04 UTC,2842,32,40,78,,0
2018-04-05 16:00:04 UTC,2843,32,40,78,,0
2018-04-05 16:00:04 UTC,2844,32,40,78,,0
2018-04-05 16:00:04 UTC,2845,32,40,78,,0
2018-04-05 16:00:04 UTC,2846,32,40,78,,0
2018-04-05 16:00:04 UTC,2847,32,40,78,,0
2018-04-05 16:00:04 UTC,2848,32,40,78,,0
2018-04-05 16:00:04 UTC,2849,32,40,78,,0
2018-04-05 16:00:04 UTC,2850,32,40,78,,0
2018-04-05 16:00:04 UTC,2851,32,40,78,,0
2018-04-05 16:00:04 UTC,2852,32,40,78,,0
2018-04-05 16:00:04 UTC,2853,32,40,78,,0
2018-04-05 16:00:04 UTC,2854,32,40,78,,0
2018-04-05 16:00:04 UTC,2855,32,40,78,,0
2018-04-05 16:00:04 UTC,2856,32,40,78,,0
2018-04-05 16:00:04 UTC,2857,32,40,78,,0
2018-04-05 16:00:04 UTC,2858,32,40,78,,0
2018-04-05 16:00:04 UTC,2859,32,40,78,,0
2018-04-05 16:00:04 UTC,2860,32,40,78,,0
2018-04-05 16:00:04 UTC,2861,32,40,78,,0
2018-04-05 16:00:04 UTC,2862,32,40,78,,0
2018-04-05 16:00:04 UTC,2863,32,40,78,,0
2018-04-05 16:00:04 UTC,2864,32,40,78,,0
2018-04-05 16:00:04 UTC,2865,32,40,78,,0
2018-04-05 16:00:04 UTC,2866,32,40,78,,0
2018-04-05 16:00:04 UTC,2867,32,40,78,,0
2018-04-05 16:00:04 UTC,2868,32,40,78,,0
2018-04-05 16:00:04 UTC,2869,32,40,78,,0
2018-04-05 16:00:04 UTC,2870,32,40,78,,0
2018-04-05 16:00:04 UTC,2871,32,40,78,,0
2018-04-05 16:00:04 UTC,2872,32,40,78,,0
2018-04-05 16:00:04 UTC,2873,32,40,78,,0
2018-04-05 16:00:04 UTC,2874,32,40,78,,0
2018-04-05 16:00:04 UTC,2875,32,40,78,,0
2018-04-05 16:00:04 UTC,2876,32,40,78,,0
2018-04-05 16:00:04 UTC,2877,32,40,78,,0
2018-04-05 16:00:04 UTC,2878,32,40,78,,0
2018-04-05 16:00:04 UTC,2879,32,40,78,,0
2018-04-05 16:00:04 UTC,2880,32,40,78,,0
2018-04-05 16:00:04 UTC,2881,32,40,78,,0
2018-04-05 16:00:04 UTC,2882,32,40,78,,0
2018-04-05 16:00:04 UTC,2883,32,40,78,,0
2018-04-05 16:00:04 UTC,2884,32,40,78,,0
2018-04-05 16:00:04 UTC,2885,32,40,78,,0
2018-04-05 16:00:04 UTC,2886,32,40,78,,0
2018-04-05 16:00:04 UTC,2887,32,40,78,,0
2018-04-05 16:00:04 UTC,2888,32,40,78,,0
2018-04-05 16:00:04 UTC,2889,32,40,78,,0
2018-04-05 16:00:04 UTC,2890,32,40,78,,0
2018-04-05 16:00:04 UTC,2891,32,40,78,,0
2018-04-05 16:00:04 UTC,2892,32,40,78,,0
2018-04-05 16:00:04 UTC,2893,32,40,78,,0
2018-04-05 16:00:04 UTC,2894,32,40,78,,0
2018-04-05 16:00:04 UTC,2895,32,40,78,,0
2018-04-05 16:00:04 UTC,2896,32,40,78,,0
2018-04-05 16:00:04 UTC,2897,32,40,78,,0
2018-04-05 16:00:04 UTC,2898,32,40,78,,0
2018-04-05 16:00:04 UTC,2899,32,40,78,,0
2018-04-05 16:00:04 UTC,2900,32,40,78,,0
2018-04-05 16:00:04 UTC,2901,32,40,78,,0
